ID      mean   std    th
C0O980 0.076 0.021 0.141
C0O990 0.089 0.019 0.147
C0R100 0.072 0.020 0.132
C0R130 0.061 0.021 0.124
C0R140 0.041 0.029 0.128
C0R150 0.124 0.037 0.235
C0R160 0.049 0.028 0.134
C0R170 0.132 0.039 0.249
C0R190 0.071 0.024 0.143
C0R220 0.146 0.064 0.338
C0R240 0.062 0.149 0.510
C0R260 0.087 0.013 0.127
C0R270 0.055 0.021 0.118
C0R280 0.110 0.027 0.191
C0R320 0.147 0.034 0.249
C0R340 0.151 0.032 0.247
C0R350 0.062 0.034 0.164
C0R440 0.053 0.028 0.136
C0R470 0.076 0.010 0.106
C0R480 0.154 0.055 0.320
C0R490 0.120 0.129 0.507
C0R520 0.033 0.022 0.099
C0R530 0.081 0.059 0.257
C0R540 0.087 0.011 0.119
C0R550 0.057 0.146 0.496
C0R560 0.108 0.063 0.298
C0R570 0.092 0.010 0.123
C0R580 0.082 0.030 0.173
C0R600 0.068 0.022 0.133
C0R620 0.104 0.011 0.138
C0R640 0.074 0.016 0.122
C0R650 0.089 0.044 0.222
C0R660 0.097 0.018 0.152
C0R670 0.082 0.040 0.202
C0R680 0.126 0.028 0.210
C0R690 0.096 0.018 0.150
C0R700 0.074 0.018 0.129
C0R710 0.098 0.018 0.153
C0R720 0.083 0.025 0.158
C0R730 0.087 0.046 0.224
C0R740 0.070 0.018 0.125
C0R750 0.058 0.027 0.138
C0R760 0.071 0.024 0.144
C0R770 0.067 0.014 0.109
C0R780 0.085 0.011 0.118
C0R790 0.048 0.011 0.081
C0R800 0.083 0.014 0.126
C0R810 0.122 0.031 0.214
C0R820 0.029 0.027 0.109
C0R830 0.064 0.030 0.153
C0R840 0.056 0.030 0.146
C0S660 0.051 0.152 0.505
C0S690 0.057 0.025 0.131
C0S700 0.071 0.050 0.221
C0S710 0.066 0.028 0.151
C0S730 0.031 0.017 0.083
C0S740 0.034 0.032 0.129
C0S750 0.072 0.060 0.250
C0S760 0.079 0.029 0.164
C0S770 0.056 0.027 0.137
C0S790 0.063 0.031 0.156
C0S810 0.093 0.053 0.252
C0S830 0.045 0.039 0.163
C0S840 0.094 0.020 0.153
C0S890 0.033 0.060 0.214
C0S900 0.044 0.014 0.087
C0S910 0.123 0.019 0.182
C0S920 0.110 0.017 0.160
C0S930 0.166 0.056 0.335
C0S940 0.050 0.034 0.151
C0S950 0.076 0.018 0.129
C0S960 0.035 0.028 0.119
C0S970 0.040 0.020 0.100
C0S980 0.044 0.022 0.110
C0S990 0.069 0.019 0.126
C0SA00 0.076 0.028 0.159
C0SA10 0.084 0.018 0.140
C0SA20 0.044 0.022 0.109
C0SA30 0.091 0.030 0.181
C0SA40 0.187 0.046 0.326
C0SA60 0.045 0.024 0.117
C0SA80 0.087 0.028 0.171
C0SA90 0.109 0.022 0.176
C0T790 0.075 0.049 0.223
C0T820 0.041 0.023 0.109
C0T870 0.056 0.040 0.178
C0T900 0.050 0.025 0.125
C0T960 0.061 0.026 0.139
C0T9A0 0.047 0.037 0.158
C0T9B0 0.066 0.023 0.133
C0T9D0 0.095 0.022 0.160
C0T9E0 0.089 0.019 0.147
C0T9F0 0.154 0.049 0.300
C0T9G0 0.036 0.022 0.101
C0T9H0 0.137 0.050 0.288
C0T9I0 0.079 0.022 0.145
C0T9M0 0.101 0.043 0.230
C0T9N0 0.094 0.047 0.235
C0U520 0.157 0.060 0.339
C0U600 0.078 0.157 0.549
C0U650 0.061 0.031 0.156
C0U710 0.117 0.052 0.273
C0U720 0.052 0.041 0.175
C0U750 0.065 0.037 0.177
C0U760 0.047 0.047 0.188
C0U770 0.110 0.051 0.262
C0U780 0.061 0.022 0.128
C0U860 0.096 0.019 0.152
C0U870 0.137 0.056 0.306
C0U890 0.028 0.024 0.100
C0U900 0.082 0.023 0.152
C0U910 0.042 0.015 0.088
C0U940 0.046 0.029 0.132
C0U950 0.092 0.062 0.276
C0U960 0.052 0.053 0.211
C0U970 0.107 0.063 0.296
C0U980 0.087 0.049 0.235
C0U990 0.099 0.034 0.200
C0UA00 0.056 0.128 0.441
C0UA10 0.082 0.058 0.257
C0UA20 0.071 0.055 0.235
C0UA30 0.084 0.064 0.275
C0UA40 0.084 0.049 0.230
C0UA50 0.083 0.028 0.166
C0UA60 0.051 0.080 0.291
C0UA70 0.142 0.081 0.384
C0V210 0.153 0.033 0.250
C0V250 0.060 0.031 0.153
C0V260 0.075 0.029 0.161
C0V310 0.091 0.028 0.175
C0V350 0.079 0.026 0.157
C0V360 0.033 0.038 0.145
C0V370 0.085 0.032 0.180
C0V400 0.106 0.054 0.267
C0V440 0.093 0.043 0.224
C0V450 0.081 0.025 0.157
C0V490 0.105 0.049 0.253
C0V500 0.092 0.037 0.204
C0V530 0.038 0.054 0.201
C0V610 0.022 0.019 0.080
C0V620 0.095 0.031 0.190
C0V630 0.091 0.034 0.192
C0V640 0.092 0.034 0.194
C0V650 0.141 0.094 0.422
C0V660 0.136 0.053 0.294
C0V670 0.121 0.067 0.323
C0V680 0.122 0.034 0.225
C0V690 0.131 0.035 0.236
C0V700 0.068 0.018 0.121
C0V710 0.048 0.013 0.088
C0V720 0.128 0.021 0.190
C0V730 0.159 0.048 0.302
C0V740 0.047 0.029 0.135
C0V750 0.071 0.038 0.186
C0V760 0.075 0.049 0.221
C0V770 0.056 0.164 0.547
C0V800 0.023 0.029 0.110
C0V810 0.069 0.027 0.151
C0V820 0.042 0.018 0.096
C0W110 0.134 0.071 0.349
C0W120 0.053 0.036 0.162
C0W130 0.147 0.037 0.258
C0W140 0.095 0.085 0.349
C0W150 0.087 0.049 0.234
C0W160 0.143 0.056 0.312
C0W170 0.090 0.049 0.237
C0X050 0.073 0.038 0.186
C0X060 0.077 0.034 0.181
C0X080 0.077 0.036 0.187
C0X110 0.106 0.026 0.184
C0X120 0.124 0.034 0.227
C0X130 0.090 0.030 0.182
C0X140 0.106 0.024 0.176
C0X150 0.039 0.031 0.131
C0X160 0.108 0.058 0.282
C0X170 0.070 0.028 0.153
C0X180 0.108 0.033 0.208
C0X190 0.079 0.015 0.125
C0X200 0.025 0.019 0.081
C0X210 0.053 0.026 0.131
C0X220 0.180 0.032 0.275
C0X230 0.089 0.028 0.173
C0X240 0.111 0.043 0.242
C0X250 0.064 0.037 0.173
C0X260 0.068 0.038 0.181
C0X280 0.071 0.021 0.135
C0X290 0.102 0.022 0.168
C0X300 0.081 0.053 0.239
C0X310 0.084 0.036 0.193
C0X320 0.142 0.079 0.378
C0Z020 0.092 0.027 0.172
C0Z050 0.125 0.037 0.235
C0Z061 0.022 0.034 0.124
C0Z070 0.194 0.101 0.496
C0Z080 0.091 0.055 0.257
C0Z100 0.054 0.033 0.153
C0Z150 0.072 0.015 0.117
C0Z160 0.068 0.032 0.164
C0Z170 0.147 0.049 0.294
C0Z180 0.052 0.012 0.089
C0Z190 0.162 0.064 0.353
C0Z200 0.078 0.046 0.215
C0Z210 0.086 0.026 0.163
C0Z220 0.042 0.111 0.373
C0Z230 0.148 0.029 0.234
C0Z250 0.074 0.017 0.125
C0Z270 0.114 0.071 0.328
C0Z280 0.046 0.023 0.115
C0Z290 0.079 0.025 0.155
C0Z300 0.028 0.028 0.112
C0Z310 0.068 0.039 0.184
C0Z320 0.035 0.041 0.159
C0Z330 0.105 0.033 0.205
